Project Name,Technology Type,Technology Type Category 1,Technology Type Category 2,Rated Power in kW,Duration,Status,Service/Use Case 1,Service/Use Case 2,Service/Use Case 3,Service/Use Case 4,Service/Use Case 5,Service/Use Case 6,Service/Use Case 7,Service/Use Case 8,Service/Use Case 9,Service/Use Case 10,Service/Use Case 11,Service/Use Case 12,Latitude,Longitude,City,State/Province,Country,Street Address,Zip/Mail Code,Description,Web Link 1,Announcement Date,Construction Date,Commissioning Date,Decommissioning Date,ISO/RTO,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Ownership Model,Equity Owner 1,Equity Owner 1 Percentage,Equity Owner 2,Equity Owner 2 Percentage,Energy Storage Technology Provider,Power Electronics Provider,Integrator Company,O&M Contractor,Developer,EPC 1,EPC 2,EPC 3,Debt Provider,Projected Project Lifetime years,Performance,Capital Expenditure $ ,Operating Expense $/kWh Capacity/Year,Funding Source 1,Funding Source Details 1,Funding Amount 1,Funding Source 2,Funding Source Details 2,Funding Amount 2,Funding Source 3,Funding Source Details 3,Funding Amount 3,Research Institution,Research Description,Research Institution Link,Contact Name,Contact Email,Contact Phone,Contact Street Address,Contact City,Contact State/Province,Contact Zip/Mail Code,Contact Country,Record Created,Last Updated,Black Start,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Load Following (Tertiary Balancing),Ramping ,Voltage Support,Electric Energy Time Shift,Electric Supply Capacity,Transmission Congestion Relief,Transmission Support,Renewables Capacity Firming,Distribution upgrade due to solar,Distribution upgrade due to wind,Transmission upgrades due to solar,Transmission upgrades due to wind,Electric Bill Management,Grid-Connected Commercial (Reliability & Quality) ,Grid-Connected Residential (Reliability),Frequency Regulation,Transportable Transmission/Distribution Upgrade Deferral,Stationary Transmission/Distribution Upgrade Deferral,Onsite Renewable Generation Shifting,Electric Bill Management with Renewables,Renewables Energy Time Shift,On-Site Power,Transportation Services,Microgrid Capability,Resiliency,Demand Response
Lewiston Pump-Generating Plant,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,240000,n/a,Operational,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Spinning,,,,,,,,,,43,-79,Lewiston,New York,United States,5477 Military Rd.,,"The Niagara project, located about 4 1/2 miles downstream from the Falls, consists of two main facilities: the Robert Moses Niagara Power Plant, with 13 turbines, and the Lewiston Pump-Generating Plant, with 12 pump-turbines. In between the two plants is a forebay capable of holding about 740 million gallons of water; behind the Lewiston plant, a 1,900-acre, 22 billion gallon reservoir holds additional supplies of this liquid fuel.

Water is diverted from the Niagara River—up to 375,000 gallons a second—and conveyed through conduits under the City of Niagara Falls to Lewiston. From there, water flowing through the Robert Moses plant spins turbines that power generators, converting this mechanical energy into electrical energy.

At night, when electricity demand is low, the Lewiston units operate as pumps, transporting water from the forebay up to the plant's reservoir.

During the daytime, when electricity use peaks, the Lewiston pumps are reversed and become generators, similar to those at the Moses plant. In this way, the water can be used to produce electricity twice, increasing production and efficiency.

To balance the need for power with a desire to preserve the beauty of Niagara Falls, the United States and Canada signed a treaty in 1950 that regulates the amount of water diverted for hydroelectricity production. On average, more than 200,000 cubic feet per second (cfs), or 1.5 million gallons of water a second, flow from Lake Erie into the Niagara River. The 1950 pact requires that at least 100,000 cfs of water spill over the Falls during the daylight hours in the tourist season, April through October. This flow may be cut in half at night during this period and at all times the rest of the year.

*** Update on progress of facility upgrade:

https://www.nypa.gov/NYPAPressCenter/PressRelease/News/NYPA%20Completes%20Upgrade%20on%20First%20of%2012%20TurbineGenerator%20Units%20at%20Niagara%20Plant%E2%80%99s%20Lewiston%20PumpGenerating%20Facility.html",http://www.nypa.gov/facilities/niagara.htm,,DD.03.YYYY,DD.01.YYYY,,NYISO,New York Power Authority (NYPA),Public Owned,Transmission,,Utility-Owned,New York Power Authority (NYPA),100,,,Hitachi,,,,,Ferguson Electric,,,,,Performance metrics not available.,,,,,,,,,,,,,,,Michael Mitchell; Paul DeMichele,mitchell.m@nypa.gov; paul.demichele@nypa.gov,914-681-6428,,,,,,DD.36.YYYY 19:36:01,DD.25.YYYY 00:25:19,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
Ludington Pumped Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,1872000,8.0,Operational,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Spinning,Load Following (Tertiary Balancing),,,,,,,,,44,"October 5, 1899",Ludington,Michigan,United States,,,"The Ludington Pumped Storage Plant sits on a 1,000-acre site along the Lake Michigan shoreline. The plant was built between 1969-73 and is jointly owned by Consumers Energy and Detroit Edison, and operated by Consumers Energy.
The plant contributes directly to local governments about $11 million in annual property taxes.  Revenue from plant operations, maintenance and overhauls also contribute significant sums to the local economy.  Local residents still refer to the plant as “The Project”.

One of the world’s biggest electric “batteries”, Ludington can provide energy at a moment’s notice. Its ability lies in its 27-billion gallon reservoir and a set of six turbines that drive electric generators.  Those same turbines double as giant water pumps to fill the reservoir with water from Lake Michigan.
At night, when electric demand is low, Ludington’s reversible turbines pump water 363 feet uphill from Lake Michigan. The water is pumped through six large pipes, or “penstocks”, to the 842-acre reservoir. During the day, when electric demand is high, the reservoir releases water to flow downhill through the penstocks. The flowing water turns turbines and generators in the powerhouse to make electricity.
The plant can generate up to 1,872 megawatts — enough electricity to serve a community of 1.4 million residential customers. The output is more than double the capacity of any single unit on Consumers Energy’s system.
Ludington’s relatively simple technology enables the plant to respond quickly to the daily, weekly and seasonal highs and lows of Michigan’s energy demand. The plant also saves customers money by enabling Consumers Energy to avoid the expensive spot market when customer demand exceeds the capacity of the company’s baseload plants.  The immense size of Ludington and its six-unit design offers flexibility in balancing customer demand with electric output on a moment’s notice. 

Consumers Energy and Detroit Edison announced an $800 million upgrade on February 7 2011. The six year project would begin in 2013 and extend the plant's life by at least forty years and upgrade the generating capacity from 1,872 megawatts to 2,172 megawatts.",http://www.consumersenergy.com/content.aspx?id=1830,,DD.07.YYYY,DD.01.YYYY,,MISO,Consumers Energy,Public Owned,Transmission,,Utility-Owned,Consumers Energy,,Detroit Edison,,,,,,,,,,,," All six units can quickly produce 312 megawatts each during peak demand periods. The plant’s turbines are rated at 433,000 horsepower — more than an aircraft carrier engine.",,,,,,,,,,,,,,,"Dan Bishop, Media Relations at Consumers Energy",newsroom@consumersenergy.com,(517) 788-2395,,,,,,DD.04.YYYY 20:04:24,DD.31.YYYY 00:31:37,,,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
Northfield Mountain Pumped Storage Hydroelectricity Facility ,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,1119000,7.58,Operational,Electric Energy Time Shift,Electric Supply Capacity,,,,,,,,,,,43,"October 19, 1899",Northfield,Massachusetts,United States,99 Millers Falls Road,01360,"Located in Northfield, Massachusetts, approximately five and one-half miles up the Connecticut River from Turners Falls Dam, the 1,080 megawatt plant is entirely underground and does not depend upon the natural flow of the river for operation. Utilizing energy that is generated at nuclear and the more efficient of our fossil plants, water from the lower reservoir is pumped to an upper reservoir during periods of low power demand. The water is stored in the upper reservoir and then, at times of high electric demand, is released down a 1,100-foot-long pressure shaft to power a turbine generator and continues to the lower reservoir where it is stored until it again resumes its cycle to the upper reservoir.

The 20-mile stretch of the Connecticut River, extending from the dam at Turners Falls north to the Vernon Dam in Vermont, serves as the station's lower reservoir.

The man-made 300-acre upper reservoir, 800 feet above the river, is capable of storing 5.6 billion gallons of water with an estimated power potential of 8,500 MWh.

The underground powerhouse includes four large reversible turbines, each capable of pumping 27,000 gallons of water per second. The powerhouse is accessible through a 2,500-foot-long tunnel. Seven hundred feet below the surface, the cavern is longer than a football field and higher than a ten-story building.",http://gdfsuezna.com/northfield-mountain/,,DD.01.YYYY,DD.01.YYYY,,ISO-NE,,,,,Third-Party-Owned,FirstLight Power Resources (GDF Suez Energy North America),100,,,,,,FirstLight Power Resources (GDF Suez Energy North America),Northeast Utilities,,,,,,,140000000,,,,,,,,,,,,,,Doug Bennet,Douglas.Bennet@gdfsuezna.com,(413) 659-4415,99 Millers Falls Road,Northfield,Massachusettes,01360,United States,DD.54.YYYY 20:54:50,DD.44.YYYY 00:44:37,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
Muddy Run Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,1070000,n/a,Operational,Electric Energy Time Shift,Electric Supply Capacity,,,,,,,,,,,40,"October 15, 1899",West Holtwood,Pennsylvania,United States,172 Bethesda Church Rd.,17532,"The 8-unit power station provides 1,070 megawatts (MW) of electricity by damming the Muddy Run ravine from its mouth.  The station’s output is critical to meeting the dynamic peak electricity demands on the area’s regional power grid on hot summer afternoons.  To generate electricity, the water in the upper reservoir at Muddy Run is used to fuel the turbines, flowing into the Conowingo Pond, a 14-mile stretch of the Susquehanna River in Maryland.  As electricity demand decreases, at night, the units are reversed and used as pumps to fill the upper reservoir for subsequent peak-demand periods.

Muddy Run has provided electric power to the regional transmission system since commercial operation began in 1966. At the time, it was the largest pumped-storage hydroelectric power plant in the world.  The general plant configuration remains the same as the original construction, however, the turbines and generators have been recently refurbished.",http://www.exeloncorp.com/locations/power-plants/muddy-run-pumped-storage-facility,,,DD.01.YYYY,,PJM,,,Transmission,,Third-Party-Owned,Exelon Generation,,,,,,,Susquehanna Electric Company,Westinghouse Electric Company,,,,,,"The electrical generating equipment consists of eight motor-generator units, each rated at 13.8 kilovolts (kV), 3 phase, 60 cycle, 100 MW at 0.9 power factor at a temperature rise of 140°F (60°C) as a generator. Switching and control equipment are connected to the eight motor-generators in pairs to the four 13.8-220 kV transformers. A 13.8 kV circuit breaker is provided on each motor-generator.",,,,,,,,,,,,,,,Kenneth Poletti,Kenneth.Poletti@exeloncorp.com,,,,,,,DD.09.YYYY 21:09:50,DD.03.YYYY 22:03:58,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
Bad Creek Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,1065000,24.0,Operational,Electric Energy Time Shift,,,,,,,,,,,,35,"October 8, 1899",Oconee County,South Carolina,United States,,,"The Bad Creek Hydroelectric Station is a 1,065-megawatt pumped-storage facility located in Oconee County, eight miles north of Salem, S.C. The four-unit station began generating electricity in 1991, and is the largest hydroelectric station on the Duke Energy system. It is named for the two streams, Bad Creek and West Bad Creek, which were dammed to create the Bad Creek reservoir.

The Bad Creek facility utilizes two reservoirs (or lakes) to generate electricity: an upper reservoir and a lower reservoir. Water stored in an upper lake is released into underground power tunnels. The water rushes down the tunnels, driving huge turbines, which are underground at the base of a dam. The spinning turbines are connected to large generators, which produce the electricity. The water then flows through draft tubes into a lower lake.

A pumped-storage hydroelectric station uses the same water over and over again, making more efficient use of water resources. When demand for electricity is low, operators can refill the lake, as if they were “recharging” a battery. Using power from other generating stations, the generators act as electric motors spinning the huge turbines backward. This pumps water back up the power tunnels into the upper lake. Water is generally pumped back to the upper reservoir at night and on weekends.

With the reservoir at full-pond elevation and generating with all four units, Bad Creek can generate for 24 hours within its maximum 160’ drawdown. Full pond elevation is 2310 MSL (Mean Sea Level).",http://www.duke-energy.com/power-plants/pumped-storage-hydro/bad-creek.asp,,,DD.01.YYYY,,N/A,Duke Energy,Investor Owned,Transmission,,Utility-Owned,Duke Energy,100,,,,,,,,,,,,,Performance metrics not available.,,,,,,,,,,,,,,,Randy Wheeless; Kim Crawford,randy.wheeless@duke-energy.com; Kim.Crawford@duke-energy.com,704-382-8379; Kim - w: 919.546.6305 | c: 919.417.2245 ,,,,,,DD.59.YYYY 21:59:29,DD.40.YYYY 17:40:49,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Jocassee Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,710000,n/a,Operational,Electric Energy Time Shift,,,,,,,,,,,,35,"October 9, 1899",Pickens County,South Carolina,United States,,,"The four-unit Jocassee Hydroelectric Station is a 710-megawatt pumped-storage generating facility located in Pickens County, S.C. The facility works much like a conventional hydroelectric station, except that it can reverse turbines and pump back previously used water from a lower lake to store potential energy for later.

The Jocassee facility typically generates power during times of peak electric demand. In the Carolinas, peaks are usually on hot summer afternoons and cold winter mornings during the work week. Water power uses no fuel in the generation of electricity and so has very low operating costs.",http://www.duke-energy.com/power-plants/pumped-storage-hydro/jocassee.asp,,DD.01.YYYY,DD.12.YYYY,,N/A,Duke Energy,Investor Owned,Transmission,,Utility-Owned,Duke Energy,100,,,Voith Hydro,,,,,,,,,,"The average annual generation from the Jocassee Development is 811,000 megawatt hours and the pumping energy requirement is 988,000 megawatt hours.",,,,,,,,,,,,,,,Randy Wheeless,randy.wheeless@duke-energy.com,704-382-8379,,,,,,DD.06.YYYY 22:06:47,DD.54.YYYY 19:54:40,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Bear Swamp Hydroelectric Power Station,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,600000,5.0,Operational,Electric Energy Time Shift,Ramping ,,,,,,,,,,,43,"October 19, 1899",Rowe,Massachusetts,United States,,,"The Bear Swamp complex, completed in 1974, is on the Deerfield River in Rowe and Florida, Massachusetts. Bear Swamp comprises an underground pumped storage generating station and two conventional hydroelectric stations. 

New England Power Company developed Bear Swamp to meet the expanded peak load periods when New England's electricity consumers place the heaviest demand on the system. In the process, a large tract of land on both banks of the river was opened to public recreational use. 

The major generating units are twin, reversible pump turbines planted deep within the hillside on the south bank. Operating in unison, they produce a maximum of 600 megawatts of peaking power. During low demand periods, they are reversed to pump water 770 feet from the lower to the upper reservoir to a height of 1600 feet above sea level for storage until needed at the next peak period.",http://www.berkshireeagle.com/local/ci_27767841/bear-swamp-hydroelectric-generation-project-up-license-renewal,,DD.01.YYYY,DD.01.YYYY,,ISO-NE,National Grid,Investor Owned,Transmission,,Third-Party-Owned,"Brookfield Power, Inc.",50,"Emera, Inc.",50,Hitachi,,,Bear Swamp Power Co. LLC,New England Power Co.,,,,The Bank of Nova Scotia and Canadian Imperial Bank of Commerce,,"Average Generation: 450 GWh/year, Ramp 0% to 100% in 3 minutes, Pump to Generation Ratio: 1.38x",,,,,,,,,,,,,,,Matthew Johnson,matthew.johnson@brookfieldrenewable.com,802.423.7015,,,,,,DD.17.YYYY 23:17:01,DD.28.YYYY 22:28:03,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Fairfield Pumped Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,511200,6.97,Operational,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,,,,,,,,,,34,"October 10, 1899",Jenkinsville,South Carolina,United States,Bradham Boulevard off Hwy 215,29065,"The Fairfield Pumped Storage Facility utilizes four earthen dams and four penstocks that lead from the intake structure on the Monticello Reservoir to the powerhouse.  

The pumped storage facility is primarily used for peaking, reserve generation, and off-peak power usage. ",http://parrfairfieldrelicense.com/documents/quarterlypublicmeeting/Projectpresentation1-13.pdf,DD.09.YYYY,DD.05.YYYY,DD.12.YYYY,,N/A,South Carolina Electric & Gas Company,Investor Owned,Transmission,,Utility-Owned,South Carolina Electric and Gas Co.,100,,,,,,,,Gibbs & Hill (Engineer),Daniel Construction (Contractor),,,,"Hydraulic capacity 50,400 CFS generating & 41,800 CFS pumping (8 units)",,,,,,,,,,,,,,,"James Landreth, VP Fossil and Hydro Operations at South Carolina Electric & Gas Company",jlandreth@scana.com,803-217-7224,"220 Operation Way, MC A221",Cayce,South Carolina,29033,United States,DD.59.YYYY 16:59:13,DD.36.YYYY 22:36:27,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
Yards Creek Pumped Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,400000,6.0,Operational,Electric Energy Time Shift,Electric Supply Reserve Capacity - Spinning,,,,,,,,,,,41,-75,Blairstown,New Jersey,United States,,,"The Yards Creek Pumped Storage Facility is located in Blairstown Township, New Jersey. Water is conveyed between the plant & the Upper Reservoir via an 18’ diameter 1,800’ long exposed steel pipe
At full station load, approx.4 million gpm of water is released (9000 cfs).

The storage facility provides energy regulation and spinning reserve during on-peak hours, and it provides an energy sink off-peak (11P.M. -7 A.M.) to allow fossil and nuclear plants to remain more fully loaded.
",http://www.pseg.com/family/power/fossil/stations/yardscreek.jsp,,,DD.01.YYYY,,PJM,Public Service Electric and Gas Company (PSE&G),Investor Owned,Transmission,,Utility-Owned,PSEG Fossil,50,FirstEnergy Corp.,50,,,,,,,,,,,Performance metrics not available.,15000000,,,,,,,,,,,,,,"William Harker, Director Consolidated Hydro & CT Plants at FirstEnergy",harkerw@firstenergycorp.com,330-384-5522,,,,,,DD.25.YYYY 17:25:53,DD.39.YYYY 22:39:57,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Seneca Pumped Storage Generating Station,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,440000,n/a,Operational,Electric Energy Time Shift,Electric Supply Reserve Capacity - Spinning,,,,,,,,,,,42,-79,Mead Township,Pennsylvania,United States,,,"The Seneca Pumped Storage Generating Station is a hydroelectric power plant using pumped storage of water to generate electric power. It is located near Warren, Pennsylvania in Warren County. Seneca Station is colocated with the Kinzua Dam, near Warren, Pennsylvania. The dam was built by the United States Army Corps of Engineers to regulate the Allegheny River as part of a larger flood control project, and, as a secondary role, to generate hydroelectric power. It created the Allegheny Reservoir, a lake that stretches 25 miles (40 km) upriver.

The power plant, rated at 435 MW, was built by the Pennsylvania Electric Company and Cleveland Electric Illuminating Company. It began commercial operation in 1970. Through business mergers and acquisitions, the plant is now owned by FirstEnergy, an operator of several base load (nuclear and coal-fired) power plants. Pumped storage plants function similarly to a storage battery; they absorb excess power generated by such plants in off-peak hours, such as nighttime, using it to pump water into a reservoir. Later, when demand exceeds the base load, the flow of water from the reservoir generates additional electrical power to meet peak load demands.",http://www.lspower.com/News/newsarticle07232015.htm,,,DD.01.YYYY,,PJM,,,,,Third-Party-Owned,LS Power Group,100,,,,,,,Pennsylvania Electric Company and Cleveland Electric Illuminating Company,,,,,,"Mean Annual Gross Energy Generation (2004-2009): 691,816 MWh; Mean Annual Net Energy Generation (2004-2009): -243,372 MWh",61000000,,,,,,,,,,,,,,Sandeep Arora,sarora@lspower.com ,,,,,,,DD.45.YYYY 17:45:07,DD.57.YYYY 22:57:02,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Taum Sauk Hydroelectric Power Station,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,440000,8.0,Operational,Electric Energy Time Shift,Electric Supply Capacity,,,,,,,,,,,37,"October 1, 1899",Lesterville,Missouri,United States,,,"The Taum Sauk pumped storage plant is located in the St. Francois mountain region of the Missouri Ozarks approximately 90 miles (140 km) south of St. Louis near Lesterville, Missouri in Reynolds County. The pumped-storage hydroelectric plant, operated by the AmerenUE electric company, was designed to help meet peak power demands during the day. Electrical generators are turned by water flowing from a reservoir on top of Proffit Mountain into a lower reservoir on the East Fork of the Black River. The generators and turbines at river level are reversible, and at night the excess electricity available on the power grid is used to pump water back to the mountaintop.

The Taum Sauk plant is notable in that it is a pure pump-back operation – there is no natural primary flow available for generation, unlike most other pumped storage sites. It was among the largest such projects when it was built. Construction of the Taum Sauk plant began in 1960 and operation began in 1963. The two original reversible pump-turbine units were each capable of generating 175 megawatts of power. They were upgraded in 1999 to units capable of 225 megawatts each.

The plant was out of operation after the upper reservoir suffered a catastrophic failure on December 14, 2005, until the rebuilt and recertified structure started producing power again on April 21, 2010. The new upper reservoir dam, rebuilt from the ground up, is the largest roller-compacted concrete dam in North America. The plant was named an IEEE Milestone in 2005.",http://web.mst.edu/~rogersda/dams/taum-sauk/watkins-taum-sauk-gsa_branson-compressed.pdf,,DD.01.YYYY,DD.01.YYYY,,MISO,Ameren,Investor Owned,Transmission,,Utility-Owned,Ameren Missouri,100,,,,,,,,,,,,,Performance metrics not available.,,,,,,,,,,,,,,,"Mark Birk, AmerenUE VP, Power Operations",mbirk@ameren.com,(314) 621-3222,,,,,,DD.01.YYYY 18:01:32,DD.28.YYYY 23:28:08,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
Richard B. Russell Pumped Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,600000,n/a,Operational,Electric Energy Time Shift,Electric Supply Capacity,,,,,,,,,,,34,-83,Richard B. Russell Lake,Georgia,United States,,,"The Richard B. Russell Dam enables a unique capability within the Savannah River Basin as a provider of “pumpback” hydropower. Pumpback turbines are reversible, so they allow the system to re-use water stored in the reservoir system multiple times. This capability is especially helpful during hot, dry summers when the facility can provide more peak-demand electricity with the same amount of water again and again.

The pumpback units are typically operated seven days a week but only during the night. By pumping back at night-time, the system maximizes the benefit to taxpayers because night-time electricity costs about a third less than day-time electricity (due to decreased power demand).

Starting about one hour after sunset, the designated generators are switched into pumpback mode. Once they reverse direction, these units pull water from below the Russell Dam (in the upper portion of Thurmond Lake) and pump it back upstream into Russell Lake. Then, the next day during peak power demands, electricity is generated by releasing that water back down into Thurmond Lake.",http://balancingthebasin.armylive.dodlive.mil/2013/02/27/pumpback-2/,,DD.01.YYYY,DD.01.YYYY,,N/A,,,Transmission,,Third-Party-Owned,US Army Corps. of Engineers,100,,,,,,Southeastern Power Administration,US Army Corps. of Engineers,,,,,,Performance metrics not available.,137900000,,,,,,,,,,,,,,Savannah District Corporate Communications Office,CESAS-CCO@usace.army.mil,912-652-5279,,,,,,DD.44.YYYY 20:44:08,DD.37.YYYY 23:37:35,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
Cabin Creek Generating Station,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,324000,4.0,Operational,Black Start,Electric Energy Time Shift,Electric Supply Capacity,Renewables Energy Time Shift,,,,,,,,,40,"September 16, 1899",Georgetown,Colorado,United States,,,"Cabin Creek is located high in the Rocky Mountains of Colorado at 10,018 feet above sea level. It is a  pumped storage plant with a lower and upper reservoir. During periods of peak electricity demand on Xcel Energy’s Colorado system, electricity is generated by releasing water from the upper reservoir through a tunnel, which turns the turbine generators. The water is then stored in the lower reservoir. In the early hours of the morning when electricity use by the company’s customers is low, water is pumped back to the upper reservoir.

As a hydroelectric station, Cabin Creek produces no air, water or land emissions. As we bring additional wind power onto our Colorado system, Cabin Creek can help us better utilize this resource. The pumping of water from the lower reservoir to the upper reservoir can be timed during the evening or early morning when wind generators are producing more power.

The Georgetown plant is also open to the public as the Georgetown Energy Museum, where one can see a working power plant. The museum has many intriguing artifacts and pieces from the electrical industry. The museum also offers tours of the plant.",https://www.colorado.gov/pacific/sites/default/files/13WaterResources1010Cabin%20Creek.pdf,,,DD.01.YYYY,,N/A,Xcel Energy,Investor Owned,Transmission,,Utility-Owned,Xcel Energy,100,,,,,,,,,,,,,Energy: 1317.61 MWh,,,,,,,,,,,,,,,Frank Novachek,frank.novachek@xcelenergy.com,,,,,,,DD.07.YYYY 21:07:28,DD.58.YYYY 23:58:13,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,
Salina Pumped Storage Project,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,260000,n/a,Operational,Electric Energy Time Shift,Electric Supply Capacity,,,,,,,,,,,36,-95,Salina,Oklahoma,United States,,,"The Salina Pumped Storage Project is a 260-megawatt (MW) pumped-storage power station near Salina, Oklahoma. It is owned and operated by the Grand River Dam Authority (GRDA). Its construction was in response to growing power demands and a lack of dam sites on the Grand River. The first phase was completed in 1968 and the second in 1971. The upper reservoir for the power station is Lake W. R. Holway which was built on Saline Creek and the lower reservoir is Lake Hudson on the Grand River. During periods of lower power demand, water is pumped from Lake Hudson to Lake Holway and released back down through the pump-generators during periods of high energy demand.

The project was constructed in two stages:

Stage 1 consisted of building an earth and rock filled dam in Chimney Rock Hollow 185 feet (56 m) high, creating Chimney Rock Reservoir. A canal 1,850 feet (560 m) long led from the dam to a forebay structure that had openings for steel penstocks,each 14 feet (4.3 m) in diameter. Three penstocks led from the forebay to a powerhouse that housed three 64,000 horsepower pump-generators, with a total rated capacity of 130 megawatts. This stage was completed in 1968.

Stage 2 comprised building three more penstocks, extending the powerhouse and adding three more pump-generators, all identical to those installed in Stage 1. This doubled the facility's capacity to 260 mw. It was completed in 1971.

The SPSP is controlled remotely from the GRDA Energy Control Center at the Robert S. Kerr Dam, which created Lake Hudson.",http://www.grda.com/electric/facilities/salina-pumped-storage-project/,,,DD.01.YYYY,,SPP,,,Transmission,,Third-Party-Owned,Grand River Dam Authority (GRDA),100,,,,,,,Grand River Dam Authority (GRDA),,,,,,Performance metrics not available.,,,,,,,,,,,,,,,Charles Barney,cbarney@grda.com,918-256-5545,,,,,,DD.33.YYYY 21:33:38,DD.00.YYYY 00:00:10,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
Carters Dam Pumped Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,250000,n/a,Operational,Electric Energy Time Shift,Electric Supply Capacity,,,,,,,,,,,35,-85,Chatsworth,Georgia,United States,,,"Carters Dam is an earthen embankment dam located south of Chatsworth in Murray County and west of Ellijay in the U.S. state of Georgia. The dam is 445 ft (136 m) tall and is situated 26.8 miles (43.1 km) above the mouth of the Coosawattee River. The drainage area is 376 square miles (974 km²).

Below the dam is a 1,000 acres (400 ha) retention and re-regulation lake. The hydroelectric plant is of the pumped storage type. That is, during off-peak hours the water from the retention lake is pumped back up into the lake for use in generating power during the next time of peak demand. The dam's power station contains 2 X 125 MW Francis turbines and 2 X 125 MW Francis pump turbines for used in pumped-storage. Voltage: 13,800 V, Power Factor: .95",http://www.hydroworld.com/articles/2015/05/alstom-wins-contract-for-carter-pumped-storage-stator-replacements.html/,,,DD.01.YYYY,,N/A,,,Transmission,,Third-Party-Owned,US Army Corps. of Engineers,100,,,,,,,US Army Corps. of Engineers,,,,,,http://water.sam.usace.army.mil/cart-pert.htm,,,,,,,,,,,,,,,Jason Johnston,jason.c.johnston@usace.army.mil,,,,,,,DD.49.YYYY 21:49:09,DD.19.YYYY 19:19:07,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
